Provincia,Municipio,Sector
Distrito Nacional,Distrito Nacional,Centro
Distrito Nacional,Distrito Nacional,Los Jardines
Distrito Nacional,Distrito Nacional,Villa Progreso
Distrito Nacional,Distrito Nacional,Las Flores
Distrito Nacional,Distrito Nacional,El Millón
Distrito Nacional,Distrito Nacional,San Carlos
Distrito Nacional,Distrito Nacional,Villa María
Santo Domingo,Santo Domingo Este,Centro
Santo Domingo,Santo Domingo Este,Los Jardines
Santo Domingo,Santo Domingo Este,Villa Progreso
Santo Domingo,Santo Domingo Este,Las Flores
Santo Domingo,Santo Domingo Este,El Millón
Santo Domingo,Santo Domingo Este,San Carlos
Santo Domingo,Santo Domingo Este,Villa María
Santo Domingo,Santo Domingo Norte,Centro
Santo Domingo,Santo Domingo Norte,Los Jardines
Santo Domingo,Santo Domingo Norte,Villa Progreso
Santo Domingo,Santo Domingo Norte,Las Flores
Santo Domingo,Santo Domingo Norte,El Millón
Santo Domingo,Santo Domingo Norte,San Carlos
Santo Domingo,Santo Domingo Norte,Villa María
Santo Domingo,Santo Domingo Oeste,Centro
Santo Domingo,Santo Domingo Oeste,Los Jardines
Santo Domingo,Santo Domingo Oeste,Villa Progreso
Santo Domingo,Santo Domingo Oeste,Las Flores
Santo Domingo,Santo Domingo Oeste,El Millón
Santo Domingo,Santo Domingo Oeste,San Carlos
Santo Domingo,Santo Domingo Oeste,Villa María
Santo Domingo,Boca Chica,Centro
Santo Domingo,Boca Chica,Los Jardines
Santo Domingo,Boca Chica,Villa Progreso
Santo Domingo,Boca Chica,Las Flores
Santo Domingo,Boca Chica,El Millón
Santo Domingo,Boca Chica,San Carlos
Santo Domingo,Boca Chica,Villa María
Santo Domingo,Los Alcarrizos,Centro
Santo Domingo,Los Alcarrizos,Los Jardines
Santo Domingo,Los Alcarrizos,Villa Progreso
Santo Domingo,Los Alcarrizos,Las Flores
Santo Domingo,Los Alcarrizos,El Millón
Santo Domingo,Los Alcarrizos,San Carlos
Santo Domingo,Los Alcarrizos,Villa María
Santo Domingo,Pedro Brand,Centro
Santo Domingo,Pedro Brand,Los Jardines
Santo Domingo,Pedro Brand,Villa Progreso
Santo Domingo,Pedro Brand,Las Flores
Santo Domingo,Pedro Brand,El Millón
Santo Domingo,Pedro Brand,San Carlos
Santo Domingo,Pedro Brand,Villa María
Santiago,Santiago de los Caballeros,Centro
Santiago,Santiago de los Caballeros,Los Jardines
Santiago,Santiago de los Caballeros,Villa Progreso
Santiago,Santiago de los Caballeros,Las Flores
Santiago,Santiago de los Caballeros,El Millón
Santiago,Santiago de los Caballeros,San Carlos
Santiago,Santiago de los Caballeros,Villa María
Santiago,Tamboril,Centro
Santiago,Tamboril,Los Jardines
Santiago,Tamboril,Villa Progreso
Santiago,Tamboril,Las Flores
Santiago,Tamboril,El Millón
Santiago,Tamboril,San Carlos
Santiago,Tamboril,Villa María
Santiago,Villa González,Centro
Santiago,Villa González,Los Jardines
Santiago,Villa González,Villa Progreso
Santiago,Villa González,Las Flores
Santiago,Villa González,El Millón
Santiago,Villa González,San Carlos
Santiago,Villa González,Villa María
Santiago,Licey al Medio,Centro
Santiago,Licey al Medio,Los Jardines
Santiago,Licey al Medio,Villa Progreso
Santiago,Licey al Medio,Las Flores
Santiago,Licey al Medio,El Millón
Santiago,Licey al Medio,San Carlos
Santiago,Licey al Medio,Villa María
La Vega,La Vega,Centro
La Vega,La Vega,Los Jardines
La Vega,La Vega,Villa Progreso
La Vega,La Vega,Las Flores
La Vega,La Vega,El Millón
La Vega,La Vega,San Carlos
La Vega,La Vega,Villa María
La Vega,Constanza,Centro
La Vega,Constanza,Los Jardines
La Vega,Constanza,Villa Progreso
La Vega,Constanza,Las Flores
La Vega,Constanza,El Millón
La Vega,Constanza,San Carlos
La Vega,Constanza,Villa María
La Vega,Jarabacoa,Centro
La Vega,Jarabacoa,Los Jardines
La Vega,Jarabacoa,Villa Progreso
La Vega,Jarabacoa,Las Flores
La Vega,Jarabacoa,El Millón
La Vega,Jarabacoa,San Carlos
La Vega,Jarabacoa,Villa María
La Vega,Jima Abajo,Centro
La Vega,Jima Abajo,Los Jardines
La Vega,Jima Abajo,Villa Progreso
La Vega,Jima Abajo,Las Flores
La Vega,Jima Abajo,El Millón
La Vega,Jima Abajo,San Carlos
La Vega,Jima Abajo,Villa María
San Cristóbal,San Cristóbal,Centro
San Cristóbal,San Cristóbal,Los Jardines
San Cristóbal,San Cristóbal,Villa Progreso
San Cristóbal,San Cristóbal,Las Flores
San Cristóbal,San Cristóbal,El Millón
San Cristóbal,San Cristóbal,San Carlos
San Cristóbal,San Cristóbal,Villa María
San Cristóbal,Bajos de Haina,Centro
San Cristóbal,Bajos de Haina,Los Jardines
San Cristóbal,Bajos de Haina,Villa Progreso
San Cristóbal,Bajos de Haina,Las Flores
San Cristóbal,Bajos de Haina,El Millón
San Cristóbal,Bajos de Haina,San Carlos
San Cristóbal,Bajos de Haina,Villa María
San Cristóbal,Villa Altagracia,Centro
San Cristóbal,Villa Altagracia,Los Jardines
San Cristóbal,Villa Altagracia,Villa Progreso
San Cristóbal,Villa Altagracia,Las Flores
San Cristóbal,Villa Altagracia,El Millón
San Cristóbal,Villa Altagracia,San Carlos
San Cristóbal,Villa Altagracia,Villa María
Puerto Plata,Puerto Plata,Centro
Puerto Plata,Puerto Plata,Los Jardines
Puerto Plata,Puerto Plata,Villa Progreso
Puerto Plata,Puerto Plata,Las Flores
Puerto Plata,Puerto Plata,El Millón
Puerto Plata,Puerto Plata,San Carlos
Puerto Plata,Puerto Plata,Villa María
Puerto Plata,Sosúa,Centro
Puerto Plata,Sosúa,Los Jardines
Puerto Plata,Sosúa,Villa Progreso
Puerto Plata,Sosúa,Las Flores
Puerto Plata,Sosúa,El Millón
Puerto Plata,Sosúa,San Carlos
Puerto Plata,Sosúa,Villa María
Puerto Plata,Cabarete,Centro
Puerto Plata,Cabarete,Los Jardines
Puerto Plata,Cabarete,Villa Progreso
Puerto Plata,Cabarete,Las Flores
Puerto Plata,Cabarete,El Millón
Puerto Plata,Cabarete,San Carlos
Puerto Plata,Cabarete,Villa María
Puerto Plata,Imbert,Centro
Puerto Plata,Imbert,Los Jardines
Puerto Plata,Imbert,Villa Progreso
Puerto Plata,Imbert,Las Flores
Puerto Plata,Imbert,El Millón
Puerto Plata,Imbert,San Carlos
Puerto Plata,Imbert,Villa María
Duarte,San Francisco de Macorís,Centro
Duarte,San Francisco de Macorís,Los Jardines
Duarte,San Francisco de Macorís,Villa Progreso
Duarte,San Francisco de Macorís,Las Flores
Duarte,San Francisco de Macorís,El Millón
Duarte,San Francisco de Macorís,San Carlos
Duarte,San Francisco de Macorís,Villa María
Duarte,Arenoso,Centro
Duarte,Arenoso,Los Jardines
Duarte,Arenoso,Villa Progreso
Duarte,Arenoso,Las Flores
Duarte,Arenoso,El Millón
Duarte,Arenoso,San Carlos
Duarte,Arenoso,Villa María
Duarte,Castillo,Centro
Duarte,Castillo,Los Jardines
Duarte,Castillo,Villa Progreso
Duarte,Castillo,Las Flores
Duarte,Castillo,El Millón
Duarte,Castillo,San Carlos
Duarte,Castillo,Villa María
Duarte,Villa Riva,Centro
Duarte,Villa Riva,Los Jardines
Duarte,Villa Riva,Villa Progreso
Duarte,Villa Riva,Las Flores
Duarte,Villa Riva,El Millón
Duarte,Villa Riva,San Carlos
Duarte,Villa Riva,Villa María
La Romana,La Romana,Centro
La Romana,La Romana,Los Jardines
La Romana,La Romana,Villa Progreso
La Romana,La Romana,Las Flores
La Romana,La Romana,El Millón
La Romana,La Romana,San Carlos
La Romana,La Romana,Villa María
La Romana,Guaymate,Centro
La Romana,Guaymate,Los Jardines
La Romana,Guaymate,Villa Progreso
La Romana,Guaymate,Las Flores
La Romana,Guaymate,El Millón
La Romana,Guaymate,San Carlos
La Romana,Guaymate,Villa María
La Romana,Villa Hermosa,Centro
La Romana,Villa Hermosa,Los Jardines
La Romana,Villa Hermosa,Villa Progreso
La Romana,Villa Hermosa,Las Flores
La Romana,Villa Hermosa,El Millón
La Romana,Villa Hermosa,San Carlos
La Romana,Villa Hermosa,Villa María
San Pedro de Macorís,San Pedro de Macorís,Centro
San Pedro de Macorís,San Pedro de Macorís,Los Jardines
San Pedro de Macorís,San Pedro de Macorís,Villa Progreso
San Pedro de Macorís,San Pedro de Macorís,Las Flores
San Pedro de Macorís,San Pedro de Macorís,El Millón
San Pedro de Macorís,San Pedro de Macorís,San Carlos
San Pedro de Macorís,San Pedro de Macorís,Villa María
San Pedro de Macorís,Quisqueya,Centro
San Pedro de Macorís,Quisqueya,Los Jardines
San Pedro de Macorís,Quisqueya,Villa Progreso
San Pedro de Macorís,Quisqueya,Las Flores
San Pedro de Macorís,Quisqueya,El Millón
San Pedro de Macorís,Quisqueya,San Carlos
San Pedro de Macorís,Quisqueya,Villa María
San Pedro de Macorís,Consuelo,Centro
San Pedro de Macorís,Consuelo,Los Jardines
San Pedro de Macorís,Consuelo,Villa Progreso
San Pedro de Macorís,Consuelo,Las Flores
San Pedro de Macorís,Consuelo,El Millón
San Pedro de Macorís,Consuelo,San Carlos
San Pedro de Macorís,Consuelo,Villa María
Azua,Azua de Compostela,Centro
Azua,Azua de Compostela,Los Jardines
Azua,Azua de Compostela,Villa Progreso
Azua,Azua de Compostela,Las Flores
Azua,Azua de Compostela,El Millón
Azua,Azua de Compostela,San Carlos
Azua,Azua de Compostela,Villa María
Azua,Estebanía,Centro
Azua,Estebanía,Los Jardines
Azua,Estebanía,Villa Progreso
Azua,Estebanía,Las Flores
Azua,Estebanía,El Millón
Azua,Estebanía,San Carlos
Azua,Estebanía,Villa María
Azua,Las Charcas,Centro
Azua,Las Charcas,Los Jardines
Azua,Las Charcas,Villa Progreso
Azua,Las Charcas,Las Flores
Azua,Las Charcas,El Millón
Azua,Las Charcas,San Carlos
Azua,Las Charcas,Villa María
